TAG,NAME IN REPO (or git url),PURPOSE
pacman,i3blocks,"is the status bar."
pacman,xorg-server,"is the graphical server."
pacman,xorg-xwininfo,"allows querying information about windows."
pacman,xorg-xinit,"starts the graphical server."
pacman,xorg-xprop,"is a tool for detecting window properties."
pacman,xcompmgr,"is for transparency and removing screen-tearing."
pacman,xclip,"allows for copying and pasting from the command line."
pacman,xcape,"gives the special escape/super mappings."
pacman,xdotool,"provides window action utilities on the command line."
pacman,xorg-xdpyinfo,"aids with resolution determination and screen recording."
pacman,xorg-xbacklight,"enables changing screen brightness levels."
pacman,xorg-xinput,"xinput"
pacman,i3status,"i3status"
pacman,acpi,"battery status"
pacman,dbeaver,"sql client"
pacman,curl,"curl cli"
pacman,wget,"wget cli"
pacman,xwallpaper,"sets the wallpaper."
pacman,docx2txt,"enables .docx file previews"
pacman,odt2txt,"enables .odt file previews"
pacman,tree,"lists directory contents like trees."
pacman,arandr,"is a UI for screen adjustment."
pacman,xrandr,"the cli for arandr."
pacman,dosfstools,"allows your computer to access dos-like filesystems."
pacman,libnotify,"allows desktop notifications."
pacman,dunst,"is a suckless notification system."
pacman,feh,"wallpaper setter and image viewer."
pacman,ffmpeg,"can record and splice video and audio on the command line."
pacman,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
pacman,tig,"git workflow"
pacman,virtualbox,"virtualbox vm"
pacman,xautolock,"betterlockscreen suspender"
pacman,gnome-keyring,"serves as the system keyring."
pacman,python-pip,"pip manager."
pacman,python2-pip,"pip2 manager"
pacman,python3-pip,"pip3 manager."
pacman,neofetch,"system info on terminal."
pacman,vlc,"vlc media player."
pacman,qbittorrent,"torret downloader."
pacman,skype,"messaging app."
pacman,libreoffice,"office."
pacman,wine,"do we need windows?"
pacman,bleachbit,"manages my apps."
pacman,neovim-nightly,"an tidier vim with some useful features Dont forget about neovim"
pacman,vim,"vim"
pacman,mpd,"is a lightweight music daemon."
pacman,mpc,"is a terminal interface for mpd."
pacman,mpv,"is the patrician's choice video/gif player."
pacman,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
pacman,networkmanager,"does exactly what it sounds like."
pacman,iwd,"network"
pacman,iw,"network"
pacman,newsboat,"is a terminal RSS client."
pacman,firefox,"web browser."
pacman,flashplugin,"flash for firefox."
pacman,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen."
pacman,maim,"can take quick screenshots at your request."
pacman,socat,"is a socket utility."
pacman,tmux,"is a terminal multiplexer and the dropdown window."
pacman,zathura,"is a pdf viewer with vim-like bindings."
pacman,zathura-djvu,"gives zathura the ability to read .djvu files."
pacman,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
pacman,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
pacman,mediainfo,"shows audio and video information and is used by vifm as well."
pacman,atool,"manages and gives information about archives."
pacman,fzf,"is a fuzzy finder tool."
pacman,highlight,"can highlight code output."
pacman,exfat-utils,"allows management of FAT drives."
pacman,ntfs-3g,"allows accessing NTFS partitions."
pacman,unrar,"extracts rar's."
pacman,unzip,"unzips zips."
pacman,a52dec,"decoding ATSC A/52 streams."
pacman,faac,"an AAC audio encoder."
pacman,faad2,"an AAC audio decoder."
pacman,flac,"audio codec."
pacman,jasper,"image codec."
pacman,lame,"an MPEG/MP3 Audio encoder."
pacman,libmad,"an MPEG/MP3 audio decoder."
pacman,libdca,"decoding DTS Coherent Acoustics streams."
pacman,libdv,"video codec for DV."
pacman,gst-libav,"a GStreamer Multimedia Framework ffmpeg Plugin."
pacman,libmpeg2,"library for decoding MPEG-1 and MPEG-2 video streams."
pacman,libtheora,"video codec."
pacman,libvorbis,"audio codec."
pacman,libxv,"a X11 video extension library."
pacman,wavpack,"audio compression format with lossless, lossy and hybrid compression modes."
pacman,x264,"a H264/AVC video encoder."
pacman,xvidcore,"a MPEG-4 video codec."
pacman,libdvdcss,"a DVD decryption."
pacman,libdvdread,"reading DVD video disks."
pacman,libdvdnav,"the library for xine-dvdnav plugin."
pacman,dvd+rw-tools,"dvd burning tools."
pacman,dvdauthor,"DVD authoring tools."
pacman,dvgrab,"utilities."
pacman,p7zip,"command-line file archiver with high compression ratio."
pacman,tar,"utility used to store, backup, and transport files."
pacman,rsync,"a file transfer program to keep remote files in sync."
pacman,alsa-utils,"enables sound (amixer scontrols -> amixer sset 'Master' unmute)."
pacman,pulseaudio,"is the audio system (>inb4 bloat)."
pacman,pulseaudio-alsa,"is an audio interface with ALSA."
pacman,pulsemixer,"is an intuitive ncurses audio controller."
pacman,cmake,"cmake"
pacman,ack,"ack"
pacman,wireless_tools,"iwconfig and other tools"
pacman,mono,"youcompleteme vim c# completion"
pacman,python-neovim,"neovim python support"
pacman,playerctl,"get stats from spotify or google play music"
pacman,texmaker,"latex"
pacman,yarn,"npm on steroids"
pacman,bc,"used for betterlockscreen"
pacman,lynx,"terminal browser"
pacman,picom,"rofi uses it for transparency also it is used by i3 for nice changing efects of workspaces."
pacman,blender,"lets model!"
aur,unityhub,"lets game!"
aur,sc-im,"is an excel-like terminal spreadsheet manager"
aur,nnn,"terminal file manager"
aur,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
aur,pavucontrol,"enables sound."
aur,pulseaudio-bluetooth,"enables sound."
aur,pulseaudio-equalizer,"enables sound."
aur,pulseaudio-jack,"enables sound."
aur,pulseaudio-lirc,"enables sound."
aur,pulseaudio-zeroconf,"enables sound."
aur,google-chrome,"google chrome browser."
aur,pepper-flash,"flash for chrome."
aur,neomutt,"gmail."
aur,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
aur,xurls,"allows a user to select urls in the terminal via the keyboard."
aur,unclutter-xfixes-git,"hides an inactive mouse."
aur,simple-mtpfs,"enables the mounting of cell phones."
aur,htop-vim-git,"provides system usage information and displays processes."
aur,task-spooler,"queues commands or files for download."
aur,python-ueberzug,"generates image previews in vifm and other terminal programs."
aur,brightnessctl,"allows changing brightness of the monitor (sudo chmod u+s /usr/bin/brightnessctl -> gpasswd -a <user> video)."
aur,jdk,"java."
aur,thunar,"file manager gui."
aur,rofi,"a window switcher, application launcher and dmenu replacement."
aur,scrot,"can take quick screenshots at your request."
aur,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
aur,code,"visual studio code."
aur,powerline-fonts-git,"fonts used by me."
aur,mutt-wizard-git,"is a light-weight terminal-based email system."
aur,otf-font-awesome,"icons fonts."
aur,ttf-font-awesome,"icons fonts."
aur,otf-fira-code,"fira code font ligatures for visual studio code."
aur,ttf-fira-code,"fira code"
aur,lxappearance-gtk3,"set fonts and themes."
aur,konsole,"Command line with font ligatures for pros!"
aur,hyper,"just for fun command line"
aur,fortune-mod,"fortune terminal"
aur,lolcat,"rainbow text"
aur,universal-ctags-git,"ctags"
aur,cowsay,"cowsay"
aur,nodejs,"nodejs"
aur,npm,"npm"
aur,ttf-joypixels,"emojis"
aur,udisks2,"udisksctl mount -b /dev/sr0 usb and cd/dvd"
aur,smartctl,"check for usb or cd/dvd status smartctl -i /dev/sdb1 || sr0"
aur,texlive-core,"latex"
aur,libinput-gestures,"gestures sudo gpasswd -a $USER input"
aur,i3-gaps-rounded-git,"Rounded corners"
aur,numix-cursor-theme,"cursor theme"
aur,numix-gtk-theme-git,"gtk theme"
aur,numix-circle-icon-theme-git,"icons theme"
aur,numix-themes-darkblue,"gtk theme"
aur,betterlockscreen,"lock screen"
pip,pythondialog,"dialog for python"
pip,pynvim,"for neovim plugins"
pip,neovim,"for neovim plugins"
pip,neovim-remote,"for latex plugin"
pip,jedi,"for coc.nvim plugin python completion"
pip,flake8,"linter for python"
pip,pylint,"linter for python"
pip,pylama,"file checker for python"
pip,ipython,"python console on steroids"
pip,virtualenvwrapper,"virtual envs"
pip,youtube-dl,"youtube downloader"
pip,mps-youtube,"terminal youtube"
npm,neovim,"for neovim plugins"
npm,tslib,"for neovim plugins"
